age;workclass;education;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;result
[24-28); Private; Some-college; Married-civ-spouse; Exec-managerial; Wife; Other; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Prof-school; Married-civ-spouse; Prof-specialty; Wife; White; Female;[-inf-57);[1882-1923);[50-inf); Honduras; >50K
[44-62); Federal-gov; Bachelors; Divorced; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[44-62); Self-emp-inc; HS-grad; Divorced; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; Some-college; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; 5th-6th; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[30-36); Private; Assoc-voc; Married-civ-spouse; Other-service; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); Puerto-Rico; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Adm-clerical; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[30-36); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[4974-5119);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; Bachelors; Married-civ-spouse; Sales; Husband; White; Male;[57-3048);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Transport-moving; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Doctorate; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[28-30); Private; Some-college; Divorced; Tech-support; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; Some-college; Divorced; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Adm-clerical; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Self-emp-inc; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[-inf-22); Private; Some-college; Never-married; Prof-specialty; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Private; Bachelors; Separated; Sales; Own-child; Black; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Self-emp-not-inc; Bachelors; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[22-24); Private; Some-college; Never-married; Machine-op-inspct; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[62-inf); Private; Some-college; Married-civ-spouse; Prof-specialty; Other-relative; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Other-service; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[36-44); Private; Assoc-acdm; Married-civ-spouse; Adm-clerical; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; 11th; Never-married; Other-service; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Local-gov; 7th-8th; Married-civ-spouse; Farming-fishing; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; HS-grad; Never-married; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; Bachelors; Married-civ-spouse; Other-service; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); Cuba; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Other-service; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[44-62); Private; HS-grad; Divorced; Craft-repair; Not-in-family; White; Female;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; HS-grad; Divorced; Sales; Own-child; White; Female;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Local-gov; HS-grad; Married-civ-spouse; Protective-serv; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[30-36); Private; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; 9th; Never-married; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Federal-gov; Doctorate; Never-married; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[44-62); Private; Assoc-voc; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Some-college; Divorced; Craft-repair; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; Some-college; Divorced; Machine-op-inspct; Unmarried; Black; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Local-gov; Bachelors; Married-civ-spouse; Protective-serv; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[28-30); Local-gov; Some-college; Never-married; Handlers-cleaners; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Self-emp-not-inc; Doctorate; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[1882-1923);[50-inf); United-States; >50K
[36-44); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[44-62); Private; Assoc-acdm; Divorced; Exec-managerial; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); England; <=50K
[30-36); Federal-gov; HS-grad; Never-married; Other-service; Own-child; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[62-inf); Private; Masters; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[44-62); Self-emp-not-inc; Masters; Never-married; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Tech-support; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; HS-grad; Never-married; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Self-emp-inc; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[30-36); Private; 11th; Never-married; Handlers-cleaners; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Local-gov; HS-grad; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; Bachelors; Never-married; Sales; Other-relative; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Prof-school; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Self-emp-not-inc; HS-grad; Married-civ-spouse; Other-service; Husband; White; Male;[-inf-57);[1882-1923);[50-inf); Canada; >50K
[28-30); Private; Some-college; Married-civ-spouse; Sales; Wife; White; Female;[3120-4244);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Never-married; Machine-op-inspct; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; 9th; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Self-emp-inc; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Local-gov; Assoc-voc; Married-civ-spouse; Craft-repair; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[22-24); Private; HS-grad; Never-married; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Other-service; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; Bachelors; Never-married; Exec-managerial; Own-child; Black; Male;[-inf-57);[-inf-1552);[40-42); Germany; <=50K
[28-30); State-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[-inf-22); Private; Some-college; Never-married; Other-service; Own-child; Black; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Private; Bachelors; Married-civ-spouse; Exec-managerial; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[-inf-22); Private; Some-college; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[1569-1821);[-inf-35); United-States; <=50K
[30-36); Private; Assoc-acdm; Married-civ-spouse; Adm-clerical; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[36-44); Private; Some-college; Divorced; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; Assoc-acdm; Never-married; Sales; Not-in-family; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Other-service; Not-in-family; White; Female;[-inf-57);[1569-1821);[40-42); United-States; <=50K
[36-44); Self-emp-not-inc; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[4244-4401);[-inf-1552);[35-40); United-States; <=50K
[36-44); Private; Bachelors; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; Assoc-acdm; Divorced; Tech-support; Not-in-family; Black; Female;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[36-44); Federal-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); Iran; >50K
[36-44); Self-emp-not-inc; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; Assoc-voc; Married-civ-spouse; Adm-clerical; Wife; White; Female;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Sales; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; Some-college; Married-civ-spouse; Craft-repair; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Self-emp-inc; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; Some-college; Never-married; Sales; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Other-service; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); Mexico; <=50K
[44-62); Private; Assoc-voc; Never-married; Prof-specialty; Not-in-family; White; Female;[-inf-57);[1552-1569);[40-42); United-States; >50K
[62-inf); Private; Some-college; Never-married; Tech-support; Other-relative; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; HS-grad; Never-married; Transport-moving; Unmarried; Black; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[22-24); Private; Some-college; Married-civ-spouse; Other-service; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Widowed; Other-service; Unmarried; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[62-inf); Private; 11th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[2177-2219);[40-42); United-States; <=50K
[44-62); Local-gov; Some-college; Divorced; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[35-40); Mexico; <=50K
[30-36); Private; HS-grad; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; Bachelors; Never-married; Exec-managerial; Other-relative; Asian-Pac-Islander; Female;[-inf-57);[-inf-1552);[40-42); Philippines; <=50K
[-inf-22); Private; HS-grad; Never-married; Craft-repair; Own-child; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[22-24); Private; Bachelors; Never-married; Handlers-cleaners; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[62-inf); Self-emp-not-inc; Some-college; Separated; Sales; Unmarried; Black; Male;[-inf-57);[1569-1821);[-inf-35); United-States; <=50K
[28-30); Private; HS-grad; Divorced; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; Bachelors; Separated; Other-service; Other-relative; Black; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Other-service; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-inc; Masters; Divorced; Exec-managerial; Unmarried; Asian-Pac-Islander; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; HS-grad; Never-married; Exec-managerial; Not-in-family; Asian-Pac-Islander; Female;[-inf-57);[-inf-1552);[40-42); England; <=50K
[44-62); Self-emp-not-inc; Masters; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[36-44); Private; Some-college; Divorced; Other-service; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[36-44); Federal-gov; Assoc-acdm; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[44-62); State-gov; Masters; Widowed; Protective-serv; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; 11th; Never-married; Handlers-cleaners; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[62-inf); Local-gov; Assoc-voc; Widowed; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Other-service; Not-in-family; White; Male;[-inf-57);[1979-2162);[40-42); United-States; <=50K
[28-30); State-gov; HS-grad; Married-civ-spouse; Protective-serv; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[1976-1979);[40-42); United-States; >50K
[24-28); Private; Bachelors; Never-married; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[28-30); State-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[24-28); Private; HS-grad; Married-spouse-absent; Sales; Unmarried; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[-inf-22); Private; HS-grad; Never-married; Craft-repair; Own-child; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; HS-grad; Never-married; Handlers-cleaners; Not-in-family; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; HS-grad; Never-married; Other-service; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Private; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Local-gov; Some-college; Married-civ-spouse; Exec-managerial; Husband; Black; Male;[-inf-57);[-inf-1552);[35-40); United-States; >50K
[36-44); Private; Some-college; Divorced; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; Some-college; Never-married; Craft-repair; Not-in-family; Black; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[36-44); Private; 7th-8th; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); Mexico; >50K
[36-44); Federal-gov; Some-college; Married-civ-spouse; Adm-clerical; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[30-36); Private; HS-grad; Married-civ-spouse; Adm-clerical; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Self-emp-not-inc; Bachelors; Divorced; Exec-managerial; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; Masters; Married-civ-spouse; Prof-specialty; Wife; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); State-gov; Doctorate; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; >50K
[36-44); Private; Some-college; Divorced; Machine-op-inspct; Not-in-family; Black; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; Some-college; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Local-gov; Bachelors; Married-civ-spouse; Craft-repair; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Some-college; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[36-44); Federal-gov; Bachelors; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[22-24); Private; 5th-6th; Married-civ-spouse; Transport-moving; Other-relative; White; Male;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[36-44); Private; Some-college; Divorced; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Federal-gov; Masters; Never-married; Exec-managerial; Not-in-family; White; Female;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[30-36); Private; Masters; Married-civ-spouse; Prof-specialty; Other-relative; White; Male;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[24-28); Self-emp-not-inc; HS-grad; Never-married; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; Masters; Never-married; Prof-specialty; Not-in-family; White; Female;[-inf-57);[1862-1882);[40-42); United-States; <=50K
[44-62); Private; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[36-44); Local-gov; Some-college; Never-married; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); State-gov; HS-grad; Divorced; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[-inf-22); Private; 11th; Never-married; Sales; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Bachelors; Married-civ-spouse; Other-service; Husband; Black; Male;[7074-inf);[-inf-1552);[35-40); United-States; >50K
[30-36); Private; HS-grad; Divorced; Craft-repair; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Self-emp-inc; HS-grad; Married-civ-spouse; Sales; Wife; White; Female;[7074-inf);[-inf-1552);[35-40); United-States; >50K
[-inf-22); Private; 11th; Never-married; Sales; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Local-gov; HS-grad; Married-civ-spouse; Transport-moving; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[30-36); Private; Some-college; Never-married; Sales; Not-in-family; Amer-Indian-Eskimo; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
